00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
00:43:52 |c| Spirit of Twilight|Everyeone's one
00:43:54 |c| zygardes true core|$TimeZone: Only scrubs say noob
00:43:55 |c| Spirit of Twilight|lol
00:43:57 |c| zygardes true core|ahem
00:44:02 |c| zygardes true core|right there
00:44:04 |c| Spirit of Twilight|So are you one?
00:44:20 |c|$TimeZone|I guess so
00:44:23 |c|$TimeZone|;(
00:44:33 |c|$TimeZone|Look wut you did scrub 
00:45:13 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7customgame-22142
00:52:02 |j| CitrusNinjaGaming
00:52:05 |l| CitrusNinjaGaming
00:54:03 |c| Spirit of Twilight|Mistress Midnight OUT!
00:54:13 |c| Spirit of Twilight|Twilightwill pass
00:54:19 |c| Spirit of Twilight|Timezone
00:54:20 |c|$TimeZone|Uhh
00:54:22 |c| Spirit of Twilight|and zygardes true core
00:54:23 |c| Spirit of Twilight|Byebye
00:54:27 |c| Spirit of Twilight|Maybe tomorrow
00:54:29 |c| zygardes true core|yeah
00:54:29 |c|$TimeZone|"it's allowed"
00:54:33 |c| zygardes true core|ur right
00:54:36 |c| Spirit of Twilight|I know i am
00:54:38 |c| zygardes true core|no it isnt allowed
00:54:40 |c| zygardes true core|but
00:54:41 |c| Spirit of Twilight|I try not to lie
00:54:45 |c|$TimeZone|!Learn Entei, Burn up
00:54:45 |html|<div class="infobox">In Gen 7, Entei <span class="message-learn-cannotlearn">can't</span> learn Burn Up</div>
00:54:47 |c| Spirit of Twilight|Zygardes true core
00:54:48 |c|$TimeZone|*,*
00:54:51 |c| zygardes true core|ur right 2 of my mons werent lv 9999
00:54:54 |c| Spirit of Twilight|There are a lot of glitched metas on this server
00:54:56 |c| zygardes true core|they were lv 100
00:54:57 |c| Spirit of Twilight|LIke try pokebilities
00:55:02 |c| zygardes true core|yeah there fucked up
00:55:03 |c| Spirit of Twilight|Ff is also a good example
00:55:08 |c| Spirit of Twilight|Rip bye now
00:55:10 |c| zygardes true core|yeah
00:55:13 |c|$TimeZone|bye
00:55:14 |c| zygardes true core|wait
00:55:18 |c| zygardes true core|before u go
00:55:22 |c| zygardes true core|i got one question
00:55:57 |c| zygardes true core|how the fuck did u get ur mon a fake name and a ability  and multiple moves
00:56:10 |c|$TimeZone|She just typed it in
00:56:12 |c|$TimeZone|*,"
01:12:11 |l| Spirit of Twilight
01:16:15 |l| zygardes true core
01:17:42 |userstats|total:9|guests:2| :5|+:0|$:1|%:0|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
01:20:27 |j| copy and pasta
01:20:30 |l| copy and pasta
01:30:05 |l|$TimeZone
01:35:53 |j|‽Eloseum
01:36:17 |l|‽Eloseum
01:49:41 |j| anon171
01:49:56 |l| anon171
01:51:11 |j| brettbruhbb
01:52:38 |c| brettbruhbb|who wants to play me
01:56:17 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user brettbruhbb' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#309825'>brettbruhbb:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
01:57:16 |l| brettbruhbb
02:03:14 |j|$TimeZone
02:10:16 |j| anon171
02:10:50 |l| anon171
02:17:42 |userstats|total:9|guests:2| :5|+:0|$:1|%:0|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
02:19:32 |l|$TimeZone
02:19:44 |j| PurpleRoserade
02:26:11 |l| PurpleRoserade
02:26:52 |j| anon171
02:29:42 |j| PurpleRoserade
02:30:24 |l| anon171
02:30:52 |l| PurpleRoserade
02:44:08 |j|$iCone
02:49:05 |j| anon171
02:49:10 |l| anon171
02:56:02 |c|$iCone|lol
02:59:27 |j| KyogrePrimordiaal
03:06:29 |l|$iCone
03:09:08 |l| KyogrePrimordiaal
03:17:42 |userstats|total:8|guests:2| :5|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
03:26:14 |j| kaznec
03:26:38 |l| kaznec
03:41:31 |j| Vlayzer
03:42:39 |l| Vlayzer
03:55:25 |j| Taveena
04:05:16 |l| Taveena
04:15:12 |l|~Ransei
04:17:42 |userstats|total:8|guests:3| :6|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
04:22:47 |j| clamberacc94
04:23:11 |l| clamberacc94
04:23:35 |j| DarkWolf66777
04:23:38 |l| DarkWolf66777
04:26:58 |j| clamberacc94
04:36:09 |j| LassDaisy
04:40:28 |l| LassDaisy
04:42:14 |l| clamberacc94
05:16:57 |j| Le'Salle
05:17:42 |userstats|total:8|guests:2| :6|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
05:20:36 |l| Le'Salle
05:22:02 |j| Spandan
05:24:34 |l| shwb
05:28:35 |j| Titi~Wii ❆
05:33:16 |l| Spandan
05:33:23 |j| Spandan
05:35:04 |l| Spandan
05:42:42 |l| Titi~Wii ❆
05:54:34 |j| shwb
06:02:24 |j| WSGreen
06:02:27 |l| WSGreen
06:12:30 |l| shwb
06:17:42 |userstats|total:6|guests:2| :4|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
06:18:19 |j| Spandan
06:42:08 Spandan used /updateserver
06:42:08 Created autostash: 5dde998
06:42:08 HEAD is now at a23327b Update om.js
06:42:08 First, rewinding head to replay your work on top of it...
06:42:08 Fast-forwarded master to FETCH_HEAD.
06:42:08 Applied autostash.
06:42:08 From https://github.com/XpRienzo/DragonHeaven
06:42:08    a23327b..4466012  master     -> origin/master
06:42:08 
06:42:18 |c| Spandan|!dt bisharp
06:42:18 |c|~|/data-pokemon Bisharp
|raw|<font size="1"><font color="#686868">Dex#:</font> 625&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.6 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 70 kg <em>(80 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Red&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Human-Like&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
06:42:22 |c| Spandan|!ts bisharp
06:42:22 |html|<div class="broadcast-red"><b>Pokemon Showdown crashed!</b><br />Don't worry, we're working on fixing it.</div>
06:43:17 |c| Spandan|!ts bisharp
06:43:17 |html|<div class="infobox">Bisharp in 350 Cup: <br /> 65/125/100/60/70/70</div>
06:43:21 |c| Spandan|weird
06:43:22 |c| Spandan|af
06:43:24 |c| Spandan|tbh
06:44:10 |c| Spandan|!ds bl2
06:44:10 |html|<div class="infobox">No Pok&eacute;mon found.</div>
06:44:14 |c| Spandan|!ds uu
06:44:14 |html|<div class="infobox">No Pok&eacute;mon found.</div>
06:44:18 |c| Spandan|!ds gen7uu
06:44:18 |html|<div class="infobox">Rattata-Alola, Raticate-Alola, Raichu-Alola, Sandshrew-Alola, Sandslash-Alola, Vulpix-Alola, Ninetales-Alola, Diglett-Alola, Dugtrio-Alola, Meowth-Alola, and 91 more. <span style="color:#999999;">Redo the search with 'all' as a search parameter to show all results.</span></div>
06:44:26 |c| Spandan|!ds gen7bl2
06:44:26 |html|<div class="infobox">Rattata-Alola, Raticate-Alola, Raichu-Alola, Sandshrew-Alola, Sandslash-Alola, Vulpix-Alola, Ninetales-Alola, Diglett-Alola, Dugtrio-Alola, Meowth-Alola, and 91 more. <span style="color:#999999;">Redo the search with 'all' as a search parameter to show all results.</span></div>
06:44:42 |j| Spirit - Goku
06:46:44 |l| Spirit - Goku
06:50:39 |j| Light of Pyro
06:52:14 |l| Light of Pyro
06:53:22 |j|&charizard8888
07:12:07 |j| jordo
07:12:45 |j|&ClassyZ
07:17:42 |userstats|total:10|guests:2| :6|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:2|~:0|⚔:0
07:17:57 |c|&charizard8888|Update: Mega Mawile and Beedrill to be released on Tuesday
07:23:11 |j| shwb
07:27:02 |j|+Flurbel
07:27:18 |l| jordo
07:27:23 |j| jordo
07:35:28 |l| shwb
07:45:38 |j| shwb
07:46:01 |l|+Flurbel
07:59:23 |l|&ClassyZ
08:00:13 |j|+Flurbel
08:01:35 |j| Light of Pyro
08:01:50 |l| Light of Pyro
08:02:15 |j| Insist
08:02:26 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user Insist' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#BA44CC'>Insist:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
08:02:33 |j| Light of Pyro
08:03:14 |raw|<div class='chat'><small>&</small><button name='parseCommand' value='/user charizard8888' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#AE830F'>charizard8888:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
08:03:17 |c| Insist|Spandan do you know how we could assign sprites to the "fakemons"
08:03:21 |c| Insist|Digimon etc
08:03:23 |l|+Flurbel
08:03:34 |c| Insist|Ive been brainstorming e.e
08:03:49 |c| Insist|but every way I think it ends up client
08:14:38 |j| mrcow22
08:15:03 |l| mrcow22
08:15:31 |l| Insist
08:17:42 |userstats|total:11|guests:2| :8|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:1|~:0|⚔:0
08:45:02 |l| Light of Pyro
08:55:12 |j| Totodile Squad
08:57:44 |l| Totodile Squad
09:04:14 |j| Tsar dragon
09:05:20 |l| Tsar dragon
09:06:54 |j| LET'S GO! Metapod!
09:07:35 |n| LET'S GO! Metapod!|letsgometapod
09:07:52 |l| LET'S GO! Metapod!
09:09:59 |j|$iCone
09:14:51 |j|%Zygardeorder
09:17:42 |userstats|total:12|guests:2| :7|+:0|$:1|%:1|@:0|*:2|★:0|#:0|&:1|~:0|⚔:0
09:20:29 |l|%Zygardeorder
09:32:04 |c|$iCone|holas
09:32:05 |raw|<div class='chat'><small>$</small><button name='parseCommand' value='/user iCone' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#E63737'>iCone:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/xaa.png" title="xaa" width="50" height="50" /></em></div>
10:01:29 |l|$iCone
10:04:51 |l| Spandan
10:17:42 |userstats|total:9|guests:2| :6|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:1|~:0|⚔:0
10:21:57 |j| Morgendorfer
10:24:20 |l| Morgendorfer
10:24:51 |j|#Snaquaza
10:37:29 |j| Spindlyskit
10:37:30 |l| Spindlyskit
10:37:49 |j| Spindlyskit
10:40:37 |l| Spindlyskit
10:40:44 |j| Spindlyskit
10:40:48 |l|&charizard8888
10:40:56 |j| 1v1 Zard
10:41:06 |l| 1v1 Zard
10:41:06 |j|&charizard8888
10:41:40 |l| Spindlyskit
10:41:42 |j| Spindlyskit
10:41:45 |l| Spindlyskit
10:41:46 |j| Spindlyskit
10:50:26 |j|%Zygardeorder
10:58:46 |l| Spindlyskit
10:58:48 |j| Spindlyskit
10:59:11 |j|@Ebhainia
10:59:27 |j| TOAOKilgrave
11:00:00 |l| Spindlyskit
11:00:27 |l| TOAOKilgrave
11:00:31 |j| TOAOKilgrave
11:01:16 |l|toaokilgrave
11:02:59 |j| TOAOKilgrave
11:04:37 |j| Spindlyskit
11:08:28 |l|&charizard8888
11:09:53 |j|@Alpha Shivam ♱
11:10:00 |c|@Alpha Shivam ♱|hey guys
11:10:05 |j| Canned Panda
11:10:05 |c|@Alpha Shivam ♱|i am back from exams
11:10:07 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Alpha Shivam ♱' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#127FAB'>Alpha Shivam ♱:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsok.png" title="feelsok" width="50" height="50" /></em></div>
11:10:15 |c|@Alpha Shivam ♱|hey Snaquaza
11:10:18 |c|@Alpha Shivam ♱|hey Zygardeorder
11:10:24 |c|@Alpha Shivam ♱|long time peeps
11:11:21 |l| Spindlyskit
11:12:07 |l| TOAOKilgrave
11:12:28 |c|@Alpha Shivam ♱|anyone can see me?
11:12:35 |l| Canned Panda
11:12:40 |c|@Alpha Shivam ♱|Ebhainia'
11:13:46 |c|%Zygardeorder|hey alpha!
11:13:48 |c|%Zygardeorder|how are you?
11:13:49 |c|@Ebhainia|no alpha shivam
11:13:51 |c|@Ebhainia|you're a ghost
11:13:55 |c|@Ebhainia|and not interesting
11:14:01 |c|@Ebhainia|sorry
11:14:12 |c|@Ebhainia|(how are you ? :))
11:14:27 |c|%Zygardeorder|and hi ebhainia too
11:14:35 |c|@Alpha Shivam ♱|lol
11:14:37 |c|@Alpha Shivam ♱|i am fine guys
11:14:44 |c|@Alpha Shivam ♱|good to come here after 1 week
11:14:57 |c|@Ebhainia|OH
11:15:01 |c|@Ebhainia|THAT'S TRUE
11:15:06 |c|@Alpha Shivam ♱|yes :P
11:15:08 |c|@Ebhainia|nevermind
11:15:15 |c|@Ebhainia|good to see you ^-^
11:16:50 |c|@Alpha Shivam ♱|thanks
11:17:42 |userstats|total:12|guests:2| :6|+:0|$:0|%:1|@:2|*:2|★:0|#:1|&:0|~:0|⚔:0
11:22:49 |j| EchoGaia
11:22:52 |l| EchoGaia
11:29:38 |c|#Snaquaza|o no its a ghost
11:52:18 |l|@Ebhainia
11:59:31 |j|⚔XpRienzo ☑◡☑
11:59:52 |c|⚔XpRienzo ☑◡☑|Server is updated to main's latest as per spandan's request
12:00:03 |c|⚔XpRienzo ☑◡☑|Atleast the git
12:00:06 |c|⚔XpRienzo ☑◡☑|<.<
12:01:27 |c|⚔XpRienzo ☑◡☑|And I see CSS needs a bit of work too
12:01:40 |c|⚔XpRienzo ☑◡☑|I'll try doing that after my midsems ie next week
12:01:42 |c|⚔XpRienzo ☑◡☑|ciao all'
12:01:48 |l|⚔XpRienzo ☑◡☑
12:01:53 |l|%Zygardeorder
12:02:03 |j|%Zygardeorder
12:04:41 |l| jordo
12:07:21 |j|@Ebhainia
12:10:55 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Alpha Shivam ♱' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#127FAB'>Alpha Shivam ♱:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/oshet.png" title="oshet" width="50" height="50" /></em></div>
12:10:59 |c|@Alpha Shivam ♱|xp
12:11:00 |c|@Alpha Shivam ♱|was here
12:11:02 |c|@Alpha Shivam ♱|Snaquaza hi
12:17:42 |userstats|total:12|guests:3| :6|+:0|$:0|%:1|@:2|*:2|★:0|#:1|&:0|~:0|⚔:0
12:17:43 |j|$TimeZone
12:18:31 |c|$TimeZone|herro everyone ;p
12:22:19 |c|@Ebhainia|hey
12:22:23 |c|@Ebhainia|how are you ?
12:25:15 |l|#Snaquaza
12:29:30 |j| mrgalax1
12:29:41 |l| mrgalax1
12:29:55 |j| mrgalax1
12:30:05 |l| mrgalax1
12:32:01 |l|@Alpha Shivam ♱
12:48:11 |c|$TimeZone|Fine
12:48:24 |c|$TimeZone|you ? o;
12:50:17 |j|#Snaquaza
12:52:06 |l|$TimeZone
12:52:14 |j|$TimeZone
12:57:25 |j|+Tamatomo
13:01:29 |c|$TimeZone|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22204 
13:01:51 |c|$TimeZone|burn up gimmicks glitches 
13:06:39 |l|%Zygardeorder
13:17:42 |userstats|total:11|guests:2| :5|+:1|$:1|%:0|@:1|*:2|★:0|#:1|&:0|~:0|⚔:0
13:20:31 |j|+Flurbel
13:20:43 |c|+Flurbel|hello
13:20:46 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.betterttv.net/emote/554da1a289d53f2d12781907/2x" title="(ditto)" width="50" height="50" /></em></div>
13:20:56 |c|$TimeZone|Herro 
13:21:21 |c|+Flurbel|how is it going?
13:21:39 |c|$TimeZone|Good  ty for asking o;
13:21:40 |c|$TimeZone|You
13:21:42 |c|$TimeZone|?
13:21:55 |c|+Flurbel|im fine 2 
13:22:01 |c|+Flurbel|nice saturday
13:22:04 |l|@Ebhainia
13:22:04 |c|$TimeZone|Also wanna test something with me I'm FG reg 
13:22:07 |c|$TimeZone|indeed
13:22:11 |c|$TimeZone|In FF*
13:22:15 |c|+Flurbel|sure
13:22:25 |c|+Flurbel|wait 1 sec
13:22:44 |c|+Flurbel|im on a different com
13:22:47 |c|+Flurbel|so no teams
13:22:52 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.betterttv.net/emote/554da1a289d53f2d12781907/2x" title="(ditto)" width="50" height="50" /></em></div>
13:23:03 |c|$TimeZone|lol
13:23:14 |c|$TimeZone|I testing with only two pokes
13:23:19 |c|$TimeZone|just use anytikh 
13:23:23 |c|$TimeZone|Anything 
13:23:31 |c|+Flurbel|yeah
13:23:32 |c|+Flurbel|im done
13:26:50 |c|+Flurbel|!fuse vaporeon, rotom-wash
13:26:50 |html|<div class="infobox"><b>Stats</b>: 90/65/83/107/101/75<br /><b>BST</b>:521<br /><b>Type:</b> Water/Electric<br /><b>Abilities</b>: Water Absorb/Hydration + Levitate<br /><b>Weight</b>: 14.65 kg</div>
13:27:21 |c|+Flurbel|but when I put wild on vaporeon it says it can't learn it
13:27:26 |c|$TimeZone|That needs to be patched lol
13:27:28 |c|+Flurbel|wilo*
13:27:35 |c|$TimeZone|burn up glitches I mean o;
13:27:39 |c|+Flurbel|rotom-wash isnt a pokemon tho
