00:01:43 |j| malphasmarx
04:36:30 |c| Jr Unicorn|hey
04:36:36 |c| geerat|i have almost graduated man
04:38:45 |l| Jr Unicorn
04:39:20 |j| Jr Unicorn
04:39:31 |l| BatSol
04:41:43 |c| Jr Unicorn|Alpha shivam what is the command to find out about a meta?
04:46:19 |l| Jr Unicorn
04:47:07 |j| Jr Unicorn
04:47:12 |userstats|total:7|guests:0| :4|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:0|~:0|⚔:0
04:48:42 |j| kingester
04:49:19 |l| kingester
04:53:33 |l| Jr Unicorn
04:53:49 |l|@Alpha shivam
05:00:27 |l| geerat
05:00:30 |j| Phat Albert
05:03:31 |l| Phat Albert
05:07:31 |j| bhordan j soren
05:07:34 |l| bhordan j soren
05:41:58 |j|@Alpha shivam
05:41:58 |c|*BatterBotto|welcome back Shivam, nice to see you again
05:42:25 |l|@Alpha shivam
05:42:28 |j|@Alpha shivam
05:42:28 |c|*BatterBotto|welcome back Shivam, nice to see you again
05:42:50 |c|@Alpha shivam|It is !on
05:42:59 |c|@Alpha shivam|!om 
05:42:59 |html|<div class="infobox">- <a href="https://www.smogon.com/forums/forums/other-metagames.394/">Other Metagames Forum</a><br />- <a href="https://www.smogon.com/forums/forums/om-analyses.416/">Other Metagames Analyses</a><br /></div>
05:47:12 |userstats|total:5|guests:0| :2|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:0|~:0|⚔:0
05:52:58 |l|@Alpha shivam
06:04:18 |l| Nahtano J Repus
06:12:02 |j|@Flurbel
06:47:12 |userstats|total:4|guests:0| :1|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:0|~:0|⚔:0
07:15:46 |l| shwb
07:47:12 |userstats|total:3|guests:0| :0|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:0|~:0|⚔:0
07:54:17 |l|@Flurbel
08:47:12 |userstats|total:2|guests:0| :0|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
09:29:13 |j|~charizard8888
09:47:12 |userstats|total:3|guests:0| :0|+:0|$:0|%:0|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
09:50:22 |j|@Zyg-Ten%
09:50:31 |c|@Zyg-Ten%|hi zard
09:50:36 |c|~charizard8888|Hey Zyg
09:50:39 |n| charizard8888|charizard8888
09:50:56 |c|@Zyg-Ten%|how are you?
09:51:21 |c| charizard8888|I'm good and you?
09:55:08 |c|@Zyg-Ten%|im good thanks
09:55:17 |c|@Zyg-Ten%|gonna make a z-shift team soon
09:55:24 |c| charizard8888|Kewl
09:55:27 |c|@Zyg-Ten%|and a proper last will team
09:55:36 |c|@Zyg-Ten%|then i have ff, last will and z shift covered
09:55:42 |c|@Zyg-Ten%|and can actually battle people
10:25:29 |j|@Ransei
10:25:29 |c|*BatterBotto|The legend has arrived O:
10:26:12 |c| charizard8888|Hoi 
10:40:31 |l| charizard8888
10:47:12 |userstats|total:4|guests:0| :0|+:0|$:0|%:0|@:2|*:2|★:0|#:0|&:0|~:0|⚔:0
10:53:54 |j| charizard8888
10:57:53 |l| charizard8888
11:15:10 |j| charizard8888
11:20:46 |l|@Ransei
11:27:16 |j| gmfc⚠
11:43:35 |j| Spandan
11:47:12 |userstats|total:6|guests:0| :2|+:0|$:0|%:0|@:1|*:2|★:0|#:0|&:0|~:1|⚔:0
11:47:37 |l| Spandan
11:52:03 |l| charizard8888
11:55:00 |j| Spandan
12:05:00 |l| gmfc⚠
12:12:22 |j|+UncleFlacco
12:12:22 |c|*BatterBotto|The Shuckle God arrives
12:13:07 |j| gmfc⚠
12:24:35 |raw|<div class="broadcast-red"><b>The server is restarting soon.</b><br />Please finish your battles quickly. No new battles can be started until the server resets in a few minutes.</div>
12:24:44 |c|&Spandan|BatterBotto, OutrageousBoT, Zyg-Ten%, Spandan, UncleFlacco, gmfc⚠ Restart incoming
12:24:49 NEW CHATROOM: lobby
12:24:58 |j|+UncleFlacco
12:24:58 |j| Spandan
12:25:01 |c|+UncleFlacco|dang
12:25:01 |j|*BatterBotto
12:25:07 |l|+UncleFlacco
12:25:08 |j|+UncleFlacco
12:25:08 |c|*BatterBotto|The Shuckle God arrives
12:25:51 |j|*OutrageousBoT
12:25:51 |c|*BatterBotto|Hi OutrageousBoT!
12:26:15 |j|@Zyg-Ten%
12:26:21 |c|*OutrageousBoT|RAWR! *BatterBotto
12:26:52 |c| Spandan|Zyg-Ten
12:26:53 |c| Spandan|hi
12:27:01 |c|@Zyg-Ten%|hi Spandan
12:27:24 |j|+HoeenHero
12:32:37 |n| aiusgfukavfaf|spandan
12:32:44 |n| Spandan|aiusgfukavfaf
12:34:18 |l| Spandan
12:34:37 |l|+HoeenHero
12:37:20 |j| Spandan
12:37:38 |c|+UncleFlacco|zyg span do either of you wanna ff battle?
12:37:53 |j| ScarisOmniSaiyan
12:37:57 |c|@Zyg-Ten%|i'll have a quick one before i have to go
12:38:25 |l| ScarisOmniSaiyan
12:44:18 |l| Spandan
12:44:27 |j| Spandan
12:53:24 |l| Spandan
12:53:40 |j| Spandan
12:53:53 |l| Spandan
12:53:58 |j| Spandan
12:58:48 |l|@Zyg-Ten%
13:01:35 |l|+UncleFlacco
13:02:16 |j|%flufi
13:02:16 |c|*BatterBotto|!dt fluffy
13:06:24 |c|%flufi|Did you ever finish that project for school Spandan?
13:06:44 |c| Spandan|nop
13:06:52 |c|%flufi|o
13:06:54 |j|%Winona
13:06:58 |c|%flufi|did you fail or are you still wokring on it
13:06:59 |c|%flufi|hi Winona
13:07:04 |c|%Winona|Hi
13:07:45 |c| Spandan|still working
13:11:57 |j|%EchoGaia
13:13:10 |c|%EchoGaia|hi
13:13:26 |c|%EchoGaia|!dt Jirachi's Eternal Wishes, Jillian
13:13:26 |html|<div class="broadcast-red"><b>Pokemon Showdown crashed!</b><br />Don't worry, we're working on fixing it.</div>
13:15:10 |c|%EchoGaia|yep i need help for that one
13:15:12 |c|%EchoGaia|dammnit
13:23:20 |l|%flufi
13:24:49 |userstats|total:5|guests:0| :1|+:0|$:0|%:2|@:0|*:2|★:0|#:0|&:0|~:0|⚔:0
13:27:42 |l|%Winona
13:36:46 |j|~charizard8888
13:37:16 |l|~charizard8888
14:06:22 |c|%EchoGaia|!dt Jirachi's Eternal Wishes, Jillian
14:06:22 |html|<div class="broadcast-red"><b>Pokemon Showdown crashed!</b><br />Don't worry, we're working on fixing it.</div>
14:09:29 |l| Spandan
14:09:40 |j| Spandan
14:10:16 |j|~charizard8888
14:10:30 |n| charizard8888|charizard8888
14:13:28 |c|%EchoGaia|hey zard
14:13:41 |c| charizard8888|Hey
14:14:43 |c|%EchoGaia|i'm trying to make jirachi's z move work
14:15:53 |c| Spandan|you suck
14:16:12 |c|%EchoGaia|it's not easy lol
14:16:16 |c| charizard8888|/me starts sucking a mango
14:16:22 |c|%EchoGaia|if you are that good spandan
14:16:26 |c| charizard8888|Although I prefer to eat et
14:16:27 |c|%EchoGaia|look at the code and fix it 
14:16:47 |c| Spandan|okay
14:16:48 |c| Spandan|you're challenging me
14:16:54 |c|%EchoGaia|no i'm not
14:16:59 |l| Spandan
14:17:01 |c|%EchoGaia|i just hate people saying i suck
14:17:03 |j| Spandan
14:17:43 |c| Spandan|!dt Jirachi's Eternal Wishes, Jillian
14:17:43 |html|<div class="broadcast-red"><b>Pokemon Showdown crashed!</b><br />Don't worry, we're working on fixing it.</div>
14:18:41 |c|%EchoGaia|oh yes of course
14:18:53 |c|%EchoGaia|i didn't change the move in the z crystal as well
14:19:11 |c| Spandan|!dt Jirachi's Eternal Wishes, Jillian
14:19:11 |html|<div class="broadcast-red"><b>Pokemon Showdown crashed!</b><br />Don't worry, we're working on fixing it.</div>
14:20:08 |c| charizard8888|If I Recall Correctly hotpatch isn't doing its work 
14:20:19 |c| charizard8888|So we're forced to restart :s
14:20:33 |c|%EchoGaia|i know span it's cause i'm mad of Jirachi's z move not working
14:20:46 |c|%EchoGaia|besides i need to change the name in the z crystal too for leafeon's one
14:23:00 |j|@Flurbel
14:23:14 |c|@Flurbel|hey
14:23:15 |c| charizard8888|RAWR Flurbel
14:23:21 |c|@Flurbel|hey zard
14:23:28 |c|@Flurbel|how are the z-moves going echo?
14:23:35 |c|%EchoGaia|trying to make them work
14:23:42 |c|@Flurbel|and?
14:23:46 |j| colorcodedd
14:23:50 |c|%EchoGaia|zard
14:23:53 |c|%EchoGaia|restart the server
14:24:02 |c|%EchoGaia|we'll see now if they work
14:24:22 |c| charizard8888|Gotta ask Spandan
14:24:26 |c| Spandan|!dt Jirachi's Eternal Wishes, Jillian
14:24:26 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Jirachi's Eternal Wishes"><span class="col movenamecol">Jirachi's Eternal Wishes</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Status.png" alt="Status" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">User faints, fully heals next, setup Safeguard and screens</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Jirachium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Jirachi&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Doom Desire&nbsp;|&ThickSpace;<font color="#686868">Target:</font> User</font>
14:24:30 |c| charizard8888|Eyy
14:24:44 |c|%EchoGaia|ok
14:24:46 |c|@Flurbel|nice
14:24:49 |userstats|total:7|guests:0| :2|+:0|$:0|%:1|@:1|*:2|★:0|#:0|&:0|~:1|⚔:0
14:24:54 |c| charizard8888|Spandan coad Weakness Policy from the Workshop after you're free :p
14:24:56 |c| colorcodedd|anyone wanna random pokebilities battle
14:25:03 |c|%EchoGaia|!dt Warth of the Hundred-Year-Old Trees, Jillian
14:25:03 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Meditation of Nature"><span class="col movenamecol">Meditation of Nature</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/undefined.png" alt="undefined" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/undefined.png" alt="undefined" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">undefined</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;<font color="#686868">Z-Effect:</font> None&nbsp;|&ThickSpace;<font color="#686868">Target:</font> Unknown</font>
14:25:09 |c|%EchoGaia|LOL
14:26:16 |c|@Flurbel|sure colorcodedd
14:28:22 |c|%EchoGaia|i know
14:29:03 |c|%EchoGaia|i'm just hoping Jirachi's working now
14:29:09 |c|%EchoGaia|i coded like full hazards
14:29:53 |c|%EchoGaia|yeah i changed the Leafeon's one
14:29:59 |c|%EchoGaia|name+effect
14:31:05 |c|%EchoGaia|!dt Warth of the Hundred-Year-Old Trees, Jillian
14:31:05 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Meditation of Nature"><span class="col movenamecol">Meditation of Nature</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/undefined.png" alt="undefined" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/undefined.png" alt="undefined" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">undefined</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;<font color="#686868">Z-Effect:</font> None&nbsp;|&ThickSpace;<font color="#686868">Target:</font> Unknown</font>
14:38:07 |j| malphasmarx
14:38:43 |j|%Winona
14:39:58 |c|%EchoGaia|ok and now
14:40:11 |c|%EchoGaia|!dt Warth of The Hundred-Year-Old Trees, Jillian
14:40:11 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Meditation of Nature"><span class="col movenamecol">Meditation of Nature</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/undefined.png" alt="undefined" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/undefined.png" alt="undefined" width="32" height="14"></span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">undefined</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;<font color="#686868">Z-Effect:</font> None&nbsp;|&ThickSpace;<font color="#686868">Target:</font> Unknown</font>
14:40:13 |c|%EchoGaia|meh
14:40:47 |j|@Zyg-Ten%
14:40:49 |c|%EchoGaia|!dt Prophetical Curse, Jillian
14:40:49 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Prophetical Curse"><span class="col movenamecol">Prophetical Curse</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Ghost.png" alt="Ghost" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>210</span> <span class="col widelabelcol"><em>Accuracy</em><br>—</span> <span class="col pplabelcol"><em>PP</em><br>1</span> <span class="col movedesccol">Combines Fire and Ghost type effectivnesses in damage dealt</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Ninetalesium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Ninetales&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Hex&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:40:59 |c|%EchoGaia|ok so it's not a fusion
14:41:04 |c|%Winona|Whoa
14:41:05 |c|%EchoGaia|hotpatching just doesn't work?
14:41:08 |c|%Winona|I love that move
14:41:47 |c|%Flurbel|winona wait till you see rayauza's z-move
14:41:54 |c|%Winona|What is it ? :3
